,ID,TOOL_ID,y
0,ID716,J,2.7878614814802023
1,ID717,J,2.8012849140427147
2,ID719,O,2.8193498902762357
3,ID720,O,2.8539154766401293
4,ID721,O,2.837806960989347
5,ID722,M,2.8602294505340087
6,ID723,N,2.9184283378565974
7,ID724,L,2.7257629498176517
8,ID725,L,2.791775372907738
9,ID727,N,2.7564708380934624
10,ID728,N,2.7729599486458487
11,ID729,L,2.907450345030413
12,ID730,L,2.8279721717133763
13,ID731,N,2.841700810179599
14,ID732,L,2.8045352282024334
15,ID733,O,2.810954275617953
16,ID734,O,2.927022285367991
17,ID735,O,2.8699210172014427
18,ID736,O,2.8564970608232008
19,ID737,O,2.8136694274479477
20,ID738,N,2.9423188567182623
21,ID739,O,2.7619543302069096
22,ID740,O,2.8171552248001883
23,ID741,O,2.799995969756803
24,ID742,O,2.7946127987535783
25,ID743,N,2.891955328874772
26,ID744,O,2.7690699135427783
27,ID745,O,2.8747568838955893
28,ID746,O,2.8514609442303187
29,ID747,L,2.7781300435165024
30,ID749,L,2.819932674846964
31,ID751,L,2.738328320238486
32,ID752,L,2.9328104880768486
33,ID753,L,2.8631591883111542
34,ID757,N,2.9956538953541654
35,ID759,N,2.8233327421070054
36,ID760,N,2.876836356013839
37,ID761,N,2.8530899585317466
38,ID762,N,2.8460800049137323
39,ID763,N,2.8819230613920395
40,ID764,O,2.746453306365271
41,ID765,N,2.847330526980923
42,ID766,N,2.8349203892252257
43,ID768,N,2.899505570274161
44,ID769,L,2.94643596567609
45,ID770,N,2.8457469311080317
46,ID771,L,2.9713620773140037
47,ID772,N,2.85612324268242
48,ID773,L,2.848569610126774
49,ID774,N,2.8896844140370583
50,ID776,L,2.941331597967423
51,ID777,O,2.9650462777509534
52,ID778,O,2.9283623100049563
53,ID779,L,2.998664274128264
54,ID781,L,2.981862433808508
55,ID783,L,2.9948217535808324
56,ID785,L,2.820881332235668
57,ID786,M,2.87742516972966
58,ID787,L,2.823161012814712
59,ID788,M,2.988603353223566
60,ID790,N,2.841953264992239
61,ID792,O,2.6786673993500547
62,ID793,O,2.686932894862094
63,ID797,M,2.926772533866042
64,ID798,L,2.903831228334185
65,ID801,M,2.84286151424264
66,ID802,M,2.7536861331499334
67,ID803,O,2.9276603157962917
68,ID804,N,2.8455604404812083
69,ID806,O,2.6906842284292622
70,ID807,O,2.9346117709299455
71,ID811,O,2.831219183807004
72,ID812,O,2.851104759159606
73,ID813,N,2.829040385417917
74,ID816,M,2.802097176789162
75,ID817,L,2.8490861043383933
76,ID818,N,2.85927086500662
77,ID819,O,2.7960790498682977
78,ID820,O,2.75924989717133
79,ID821,L,2.927463595465252
80,ID822,M,2.92525916364777
81,ID823,M,2.8274071532491143
82,ID824,L,2.8314507524457118
83,ID825,M,2.876448384879916
84,ID826,M,2.9355798246627463
85,ID833,O,2.9232329996857787
86,ID834,O,2.856171276678869
87,ID835,O,2.884616019904763
88,ID838,L,2.6821534977731667
89,ID839,N,2.8813857082151393
90,ID841,N,2.92736706446723
91,ID844,O,2.8906794076673794
92,ID848,O,2.776079536153234
93,ID849,N,2.7506801100259755
94,ID850,L,2.7890522533735447
95,ID851,O,2.8448741641064843
96,ID852,O,2.8717243680242834
97,ID853,N,2.733591129104718
98,ID854,K,2.9908921324649533
99,ID855,L,2.9132319112801266
