,ID,TOOL_ID,y
0,ID716,J,2.7429412422399997
1,ID717,J,2.894806196930232
2,ID719,O,2.7138708659999997
3,ID720,O,2.7138708659999997
4,ID721,O,2.7138708659999997
5,ID722,M,2.857035500799999
6,ID723,N,2.7138708659999997
7,ID724,L,2.7138708659999997
8,ID725,L,2.7429412422399997
9,ID727,N,2.7138708659999997
10,ID728,N,2.7138708659999997
11,ID729,L,2.7138708659999997
12,ID730,L,2.7138708659999997
13,ID731,N,2.7138708659999997
14,ID732,L,2.7138708659999997
15,ID733,O,2.7138708659999997
16,ID734,O,2.7138708659999997
17,ID735,O,2.7138708659999997
18,ID736,O,2.7138708659999997
19,ID737,O,2.7138708659999997
20,ID738,N,2.7138708659999997
21,ID739,O,2.7138708659999997
22,ID740,O,2.7138708659999997
23,ID741,O,2.7138708659999997
24,ID742,O,2.7138708659999997
25,ID743,N,2.7138708659999997
26,ID744,O,2.7138708659999997
27,ID745,O,2.7138708659999997
28,ID746,O,2.7138708659999997
29,ID747,L,2.7138708659999997
30,ID749,L,2.7138708659999997
31,ID751,L,2.894806196930232
32,ID752,L,2.7138708659999997
33,ID753,L,2.7138708659999997
34,ID757,N,2.7138708659999997
35,ID759,N,2.7138708659999997
36,ID760,N,2.7138708659999997
37,ID761,N,2.7138708659999997
38,ID762,N,2.7138708659999997
39,ID763,N,2.7138708659999997
40,ID764,O,2.7138708659999997
41,ID765,N,2.7138708659999997
42,ID766,N,2.7138708659999997
43,ID768,N,2.7138708659999997
44,ID769,L,2.894806196930232
45,ID770,N,2.7138708659999997
46,ID771,L,2.7429412422399997
47,ID772,N,2.7138708659999997
48,ID773,L,2.894806196930232
49,ID774,N,2.7138708659999997
50,ID776,L,2.894806196930232
51,ID777,O,2.7138708659999997
52,ID778,O,2.7138708659999997
53,ID779,L,2.894806196930232
54,ID781,L,2.894806196930232
55,ID783,L,2.894806196930232
56,ID785,L,2.7429412422399997
57,ID786,M,2.857035500799999
58,ID787,L,2.7138708659999997
59,ID788,M,2.857035500799999
60,ID790,N,2.7138708659999997
61,ID792,O,2.7138708659999997
62,ID793,O,2.7138708659999997
63,ID797,M,2.857035500799999
64,ID798,L,2.7138708659999997
65,ID801,M,2.857035500799999
66,ID802,M,2.857035500799999
67,ID803,O,2.7138708659999997
68,ID804,N,2.894806196930232
69,ID806,O,2.7138708659999997
70,ID807,O,2.7138708659999997
71,ID811,O,2.7138708659999997
72,ID812,O,2.7138708659999997
73,ID813,N,2.7138708659999997
74,ID816,M,2.857035500799999
75,ID817,L,2.7138708659999997
76,ID818,N,2.7138708659999997
77,ID819,O,2.7138708659999997
78,ID820,O,2.7138708659999997
79,ID821,L,2.7138708659999997
80,ID822,M,2.857035500799999
81,ID823,M,2.857035500799999
82,ID824,L,2.7138708659999997
83,ID825,M,2.857035500799999
84,ID826,M,2.857035500799999
85,ID833,O,2.7138708659999997
86,ID834,O,2.7138708659999997
87,ID835,O,2.7138708659999997
88,ID838,L,2.7138708659999997
89,ID839,N,2.7138708659999997
90,ID841,N,2.7138708659999997
91,ID844,O,2.7138708659999997
92,ID848,O,2.7138708659999997
93,ID849,N,2.7138708659999997
94,ID850,L,2.7138708659999997
95,ID851,O,2.7138708659999997
96,ID852,O,2.7138708659999997
97,ID853,N,2.7138708659999997
98,ID854,K,2.894806196930232
99,ID855,L,2.7138708659999997
